company,description,location,review,salary,star,title
"Quintrix Solutions, Inc","ESSENTIAL DUTIES AND RESPONSIBILITIES OF THE DATA SCIENTIST:. The starting salary for the Data Scientist position is $135,000....","New York, NY",,135000.0,,"Data Scientist (Statistical Modeling, Big Data, ETL)"
DEPT OF HEALTH/MENTAL HYGIENE,"Maintain confidentiality of identifiable data. Supervise at least one City Research Scientist analyzing data, preparing manuscripts and presentations, and...","Queens, NY",7.0,97866.5,52.8,"Research Scientist of Special Projects, World Trade Center Health Registry"
Blair Search,Strong understanding of algorithms and advanced data structures. Experience in solutions that leverage distributed processing of large data sets (e.g....,"Duluth, GA",,92500.0,,Data Scientist
Intellipro Group Inc.,Work with data engineers and other stakeholders in data products pipeline to enable automation of the data-driven products....,"San Francisco, CA",,300000.0,,Data Scientist
Blair Search,"The individual, in partnership with the Project Scientists, is responsible to guide, review, and comment on the study design, compound requirements, synopsis,...","Irvine, CA",,115000.0,,Non-clinical Study Monitor
Altair Engineering,Interpret data received from Customer for manufacturability. Ability to interpret 3D and 2D data/ read blue prints....,"Troy, MI",32.0,70000.0,52.8,Cost Analysis
MD Anderson Cancer Center,"Serves on project teams, implements research protocols, and oversees data management and analysis procedures....","Houston, TX",383.0,64000.0,51.6,Research Scientist -LCMS
Blair Search,Handle complex data requests and acts as a “go to” person for other Data Analysts. Bachelor’s degree in data related field....,"Clayton, MO",,130000.0,,"Senior Manager, Data Analysis"
Blair Search,"In addition to the activities mentioned above, the successful candidate will assist in developing product specifications, presenting scientific results,...","Charlotte, NC",,65000.0,,Formulation Scientist/Chemist- Pharma
Blair Search,"In addition to the activities above, the successful candidate will conduct particle size method transfers and verifications, develop product specifications,...","Charlotte, NC",,75000.0,,Materials Characterization Scientist-APIs and topical products
Blair Search,"Manage a team of Analytical Scientists. As a technical leader, the successful candidate will oversee and execute analytical development, strategies related to...","Charlotte, NC",,100000.0,,Analytical Development Manager- Pharma
Blair Search,"In addition to the activities mentioned above, the successful candidate will collect data on production batches, summarize results in reports, troubleshooting...","Charlotte, NC",,80000.0,,Process Development Scientist/Engineer- Pharma
"Computer Enterprises, Inc. (CEI)","Candidates will be doing data algorithms, data modeling, visualization and analytics. Big data experience required (Scala, Hive, Spark, Hadoop – not super...","Philadelphia, PA",,122500.0,,Data Scientist
Oliver James Associates,"Perform Data Analysis and data manipulation on large datasets using various tools. This senior position will oversee the mapping of data movement, data sources,...","New York, NY",2.0,180000.0,39.0,Data Scientist
DEPT OF HEALTH/MENTAL HYGIENE,"- Experience applying statistical methods to administrative data including educational data. Medicaid, EHRs, education data) that describe longitudinal...","Queens, NY",7.0,90615.0,52.8,"Data Scientist, Bureau of School Health/ SH Medical"
Analytic Recruiting,"Major insurance company seeks an experienced Senior Data Scientist with very strong modeling skills in SAS, R, or similar and experience with other data science...","New York, NY 10017 (Midtown area)",2.0,160000.0,51.0,Senior Data Scientist
Averity,Are you an experienced Senior Data Scientist looking to impact a Fortune 500's most important business decisions?...,"New York, NY",,170000.0,,Sr. Data Scientist for Fortune 500 Company
Averity,"Are you a Senior Data Scientist looking to join a top,international publishing company'sGlobal Pricing Analytics team?...","New York, NY",,145000.0,,"Senior Data Scientist for Global, Multi-Billion Dollar Publishing Company"
Harnham,Senior Data Scientist - NLP and Machine Learning. Senior Data Scientist | NLP | Machine Learning | Python | Media....,"New York, NY",,180000.0,,Senior Data Scientist - NLP and Machine Learning
